Volume,Chapter,Paragraph,Line,LineId,Text
6,1,7,9,6010709," He did not think it likely that he would see the princess herself. Several ancient and battered curtain frames had apparently been standing in the same places for years. It was not a very promising scene. Four or five women, at a polite distance from their lady, were having their dinner, so unappetizing and scanty that he wanted to look away, though served on what seemed to be imported celadon."
6,1,7,10,6010710," Others sat shivering in a corner, their once white robes now a dirty gray, the strings of their badly stained aprons in clumsy knots. Yet they respected the forms: they had combs in their hair, which were ready, he feared, to fall out at any moment. There were just such old women guarding the treasures in the palace sanctuary, but it had not occurred to him that a princess would choose to have them in her retinue."
6,1,7,11,6010711,"     ""What a cold winter it has been. You have to go through this sort of thing if you live too long."""
6,1,7,12,6010712,
6,1,7,13,6010713,"     ""How can we possibly have thought we had troubles when your royal father was still alive? At least we had him to take care of us."""
6,1,7,14,6010714,  The woman was shivering so violently that it almost seemed as if she might fling herself into the air.
6,1,7,15,6010715,    It was not right to listen to complaints not meant for his ears. He slipped away and tapped on a shutter as if he had just come up.
6,1,7,16,6010716,"    One of the women brought a light, raised the shutter, and admitted him."
6,1,7,17,6010717,"    The nurse's young daughter was now in the service of the high priestess of Kamo. The women who remained with the princess tended to be gawky, untrained rustics, not at all the sort of servants Genji was used to."
6,1,7,18,6010718," The winter they had complained of was being very cruel. Snow was piling in drifts, the skies were dark, and the wind raged. When the lamp went out there was no one to relight it. He thought of his last night with the lady of  ""the evening faces.""  This house was no less ruinous, but there was some comfort in the fact that it was smaller and not so lonely. It was a far from cozy place all the same, and he did not sleep well."
6,1,7,19,6010719," Yet it was interesting in its way. The lady, however, was not. Again he found her altogether too remote and withdrawn."
6,1,8,1,6010801,"    Finally daylight came. Himself raising a shutter, he looked out at the garden and the fields beyond. The scene was a lonely one, trackless snow stretching on and on.
    It would be uncivil to go off without a word."
6,1,8,2,6010802,"     ""Do come and look at this beautiful sky. You are really too timid."""
6,1,8,3,6010803,    He seemed even younger and handsomer in the morning twilight reflected from the snow. The old women were all smiles.
6,1,8,4,6010804,"     ""Do go out to him. Ladies should do as they are told."""
6,1,8,5,6010805,"    The princess was not one to resist. Putting herself into some sort of order, she went out."
6,1,8,6,6010806," Though his face was politely averted, Genji contrived to look obliquely at her. He was hoping that a really good look might show her to be less than irredeemable."
