"Volume","Chapter","Paragraph","Line","LineId","Text"
"39","1","4","8","39010408","&nbsp;&nbsp;&nbsp;&nbsp;&#34;Yamagatu no magaki wo kome te tatu kiri mo<BR>&nbsp;&nbsp;&nbsp;&nbsp;kokoro sora naru hito ha todome zu"
"39","1","4","9","39010409","&nbsp;&nbsp;Honoka ni kikoyuru ohom-kehahi ni nagusame tutu&#44; makoto ni kaherusa wasure hate nu."
"39","1","4","10","39010410","&nbsp;&nbsp;&#34;Nakazora naru waza kana! Ihedi ha miye zu&#44; kiri no magaki ha&#44; tatitomaru beu mo ara zu yarahase tamahu. Tukinaki hito ha&#44; kakaru koto koso.&#34;"
"39","1","4","11","39010411","&nbsp;&nbsp;nado yasurahi te&#44; sinobi amari nuru sudi mo honomekasi kikoye tamahu ni&#44; tosigoro mo mugeni misiri tamaha nu ni ha ara ne do&#44; sira nu kaho ni nomi motenasi tamahe ru wo&#44; kaku koto ni ide te urami kikoye tamahu wo&#44; wadurahasiu te&#44; itodo ohom-irahe mo nakere ba&#44; itau nageki tutu&#44; kokoro no uti ni&#44; &#34;Mata&#44; kakaru wori ari na m ya?&#34; to&#44; omohi megurasi tamahu."
"39","1","4","12","39010412","&nbsp;&nbsp;&#34;Nasakenau ahatukeki mono ni ha omoha re tatematuru tomo&#44; ikagaha se m? Omohi wataru sama wo dani sirase tatematura m.&#34;"
"39","1","4","13","39010413","&nbsp;&nbsp;to omohi te&#44; hito wo mese ba&#44; ohom-tukasa no Zou yori kauburi e taru&#44; mutumasiki hito zo mawire ru. Sinobiyaka ni mesiyose te&#44;"
"39","1","4","14","39010414","&nbsp;&nbsp;&#34;Kono Risi ni kanarazu ihu beki koto no aru wo. Gosin nado ni itoma nage na' meru&#44; tada ima ha uti-yasumu ram. Koyohi kono watari ni tomari te&#44; soya no zi hate m hodo ni&#44; kano wi taru kata ni monose m. Kore kare&#44; saburaha se yo. Zuizin nado no wonoko-domo ha&#44; Kurusuno no sau tikakara m&#44; magusa nado tori-kahase te&#44; koko ni hito amata kowe na se so. Kayau no tabine ha&#44; karugarusiki yau ni hito mo torinasu besi.&#34;"
"39","1","4","15","39010415","&nbsp;&nbsp;to notamahu. Aru yau aru besi to kokoroe te&#44; uketamahari te tati nu."
"39","1","5","1","39010501","&nbsp;&nbsp;Sate&#44;"
"39","1","5","2","39010502","&nbsp;&nbsp;&#34;Miti ito tadotadosikere ba&#44; kono watari ni yado kari haberu. Onaziu ha&#44; kono misu no moto ni yurusa re ara nam. Azari no oruru hodo made.&#34;"
"39","1","5","3","39010503","&nbsp;&nbsp;nado&#44; turenaku notamahu. Rei ha&#44; kayau ni nagawi si te&#44; azarebami taru kesiki mo miye tamaha nu wo&#44; &#34;Utate mo aru kana!&#34; to&#44; Miya obose do&#44; kotosarameki te&#44; karuraka ni anata ni hahi-watari tamahu ha&#44; hito mo sama asiki kokoti si te&#44; tada oto se de ohasimasu ni&#44; tokaku kikoye yori te&#44; ohom-seusoko kikoye tutahe ni wizari iru hito no kage ni tuki te&#44; iri tamahi nu."
"39","1","5","4","39010504","&nbsp;&nbsp;Mada yuhugure no&#44; kiri ni todi rare te&#44; uti ha kuraku nari ni taru hodo nari. Asamasiu te mikaheri taru ni&#44; Miya ha ito mukutukeu nari tamau te&#44; kita no mi-sauzi no to ni wizari ide sase tamahu wo&#44; ito you tadori te&#44; hiki-todome tatematuri tu."
"39","1","5","5","39010505","&nbsp;&nbsp;Ohom-mi ha iri hate tamahe re do&#44; ohom-zo no suso no nokori te&#44; sauzi ha&#44; anata yori sasu beki kata nakarikere ba&#44; hiki-tate sasi te&#44; midu no yau ni wananaki ohasu."
"39","1","5","6","39010506","&nbsp;&nbsp;Hitobito mo akire te&#44; ikani su beki koto to mo e omohi e zu. Konata yori koso sasu kane nado mo are&#44; ito warinaku te&#44; araarasiku ha&#44; e hiki-kanaguru beku hata monosi tamaha ne ba&#44;"
"39","1","5","7","39010507","&nbsp;&nbsp;&#34;Ito asamasiu. Omo tamahe yora zari keru mi-kokoro no hodo ni nam.&#34;"
"39","1","5","8","39010508","&nbsp;&nbsp;to&#44; naki nu bakari ni kikoyure do&#44;"
"39","1","5","9","39010509","&nbsp;&nbsp;&#34;Kabakari nite saburaha m ga&#44; hito yori keni utomasiu&#44; mezamasiu obosa ru beki ni ya ha! Kazu nara zu tomo&#44; ohom-mimi nare nuru tosituki mo kasanari nu ram.&#34;"
"39","1","5","10","39010510","&nbsp;&nbsp;tote&#44; ito nodoyaka ni sama yoku mote-sidume te&#44; omohu koto wo kikoye sira se tamahu."
"39","1","6","1","39010601","&nbsp;&nbsp;Kiki ire tamahu beku mo ara zu&#44; kuyasiu&#44; kaku made to obosu koto nomi&#44; yarukatanakere ba&#44; notamaha m koto hata masite oboye tamaha zu."
"39","1","6","2","39010602","&nbsp;&nbsp;&#34;Ito kokorouku&#44; wakawakasiki ohom-sama kana! Hito sire nu kokoro ni amari nuru sukizukisiki tumi bakari koso habera me&#44; kore yori nare sugi taru koto ha&#44; sarani mi-kokoro yurusa re de ha goranze rare zi. Ikabakari&#44; tidi ni kudake haberu omohi ni tahe nu zo ya!"
"39","1","6","3","39010603","&nbsp;&nbsp;Saritomo onodukara goranzi siru husi mo habera m mono wo&#44; sihite obomekasiu&#44; keutou motenasa se tamahu mere ba&#44; kikoye sase m kata nasa ni&#44; ikagaha se m&#44; kokoti naku nikusi to obosa ru tomo&#44; kau nagara kuti nu beki urehe wo&#44; sadakani kikoye sira se habera m to bakari nari. Ihi sira nu mi-kesiki no turaki monokara&#44; ito katazikenakere ba.&#34;"
"39","1","6","4","39010604","&nbsp;&nbsp;tote&#44; anagati ni nasake hukau&#44; youi si tamahe ri."
"39","1","6","5","39010605","&nbsp;&nbsp;Sauzi wo osahe tamahe ru ha&#44; ito mono-hakanaki katame nare do&#44; hiki mo ake zu."
"39","1","6","6","39010606","&nbsp;&nbsp;&#34;Kabakari no kedime wo to&#44; sihite obosa ru ram koso ahare nare.&#34;"
"39","1","6","7","39010607","&nbsp;&nbsp;to&#44; uti-warahi te&#44; utate kokoro no mama naru sama ni mo ara zu. Hito no ohom-arisama no&#44; natukasiu ate ni namamei tamahe ru koto&#44; saha ihe do koto ni miyu. Yo to tomoni mono wo omohi tamahu ke ni ya&#44; yase yase ni ayeka naru kokoti si te&#44; utitoke tamahe ru mama no ohom-sode no atari mo nayobika ni&#44; kedikau simi taru nihohi nado&#44; tori-atume te rautage ni&#44; yaharaka naru kokoti si tamahe ri."
"39","1","7","1","39010701","&nbsp;&nbsp;Kaze ito kokorobosou&#44; huke yuku yoru no kesiki&#44; musi no ne mo&#44; sika no naku ne mo&#44; taki no oto mo&#44; hitotu ni midare te&#44; en aru hodo nare do&#44; tada ari no ahatuke bito dani&#44; nezame si nu beki sora no kesiki wo&#44; kausi mo sanagara&#44; irikata no tuki no yamanoha tikaki hodo&#44; todome gatau&#44; mono ahare nari."
"39","1","7","2","39010702","&nbsp;&nbsp;&#34;Naho&#44; kau obosi sira nu ohom-arisama koso&#44; kaherite ha asau mi-kokoro no hodo sira rure. Kau yoduka nu made sireziresiki usiroyasusa nado mo&#44; taguhi ara zi to oboye haberu wo&#44; nanigoto ni mo kayasuki hodo no hito koso&#44; kakaru wo ba siremono nado uti-warahi te&#44; turenaki kokoro mo tukahu nare."
"39","1","7","3","39010703","&nbsp;&nbsp;Amari koyonaku obosi otosi taru ni&#44; e nam sidume hatu maziki kokoti si haberu. Yononaka wo mugeni obosi sira nu ni simo arazi wo!&#34;"
"39","1","7","4","39010704","&nbsp;&nbsp;to&#44; yorodu ni kikoye seme rare tamahi te&#44; ikaga ihu beki to&#44; wabisiu obosi megurasu."
"39","1","7","5","39010705","&nbsp;&nbsp;Yo wo siri taru kata no kokoroyasuki yau ni&#44; woriwori honomekasu mo&#44; mezamasiu&#44; &#34;Geni&#44; taguhi naki mi no usa nari ya!&#34; to&#44; obosi tuduke tamahu ni&#44; sinu beku oboye tamau te&#44;"
"39","1","7","6","39010706","&nbsp;&nbsp;&#34;Uki midukara no tumi wo omohi siru tote mo&#44; ito kau asamasiki wo&#44; ikayau ni omohi nasu beki ni kaha ara m?&#34;"
"39","1","7","7","39010707","&nbsp;&nbsp;to&#44; ito honoka ni&#44; aharege ni nai tamau te&#44;"
"39","1","7","8","39010708","&nbsp;&nbsp;&nbsp;&nbsp;&#34;Ware nomi ya ukiyo wo sire ru tamesi nite<BR>&nbsp;&nbsp;&nbsp;&nbsp;nure sohu sode no na wo kutasu beki"
"39","1","7","9","39010709","&nbsp;&nbsp;to notamahu to mo naki wo&#44; waga kokoro ni tuduke te&#44; sinobiyaka ni uti-zuzi tamahe ru mo&#44; kataharaitaku&#44; ikani ihi turu koto zo to&#44; obosa ruru ni&#44;"
"39","1","7","10","39010710","&nbsp;&nbsp;&#34;Geni&#44; asiu kikoye tu kasi.&#34;"
"39","1","7","11","39010711","&nbsp;&nbsp;nado&#44; hohowemi tamahe ru kesiki nite&#44;"
"39","1","7","12","39010712","&nbsp;&nbsp;&nbsp;&nbsp;&#34;Ohokata ha ware nureginu wo kise zu tomo<BR>&nbsp;&nbsp;&nbsp;&nbsp;kuti ni si sode no na yaha kakururu"
"39","1","7","13","39010713","&nbsp;&nbsp;Hitaburu ni obosi nari ne kasi.&#34;"
"39","1","7","14","39010714","&nbsp;&nbsp;tote&#44; tuki akaki kata ni izanahi kikoyuru mo&#44; asamasi&#44; to obosu. Kokoroduyou motenasi tamahe do&#44; hakanau hikiyose tatematuri te&#44;"
"39","1","7","15","39010715","&nbsp;&nbsp;&#34;Kabakari taguhi naki kokorozasi wo goranzi siri te&#44; kokoroyasuu motenasi tamahe. Ohom-yurusi ara de ha&#44; sarani&#44; sarani.&#34;"
"39","1","7","16","39010716","&nbsp;&nbsp;to&#44; ito kezayaka ni kikoye tamahu hodo&#44; akegata tikau nari ni keri."
"39","1","8","1","39010801","&nbsp;&nbsp;Tuki kumanau sumi watari te&#44; kiri ni mo magire zu sasi-iri tari. Asahaka naru hisasi no noki ha&#44; hodo mo naki kokoti sure ba&#44; tuki no kaho ni mukahi taru yau naru&#44; ayasiu hasitanaku te&#44; magirahasi tamahe ru motenasi nado&#44; ihamkatanaku namameki tamahe ri."
"39","1","8","2","39010802","&nbsp;&nbsp;Ko-Kimi no ohom-koto mo sukosi kikoye ide te&#44; sama you nodoyaka naru monogatari wo zo kikoye tamahu. Sasugani naho&#44; kano sugi ni si kata ni obosi otosu wo ba&#44; uramesige ni urami kikoye tamahu. Mi-kokoro no uti ni mo&#44;"
"39","1","8","3","39010803","&nbsp;&nbsp;&#34;Kare ha&#44; kurawi nado mo mada oyoba zari keru hodo nagara&#44; tare tare mo ohom-yurusi ari keru ni&#44; onodukara motenasa re te&#44; minare tamahi ni si wo&#44; sore dani ito mezamasiki kokoro no nari ni si sama&#44; masite kau aru maziki koto ni&#44; yoso ni kiku atari ni dani ara zu&#44; Ohotono nado no kiki omohi tamaha m koto yo. Nabete no yo no sosiri wo ba sarani mo iha zu&#44; Win ni mo ikani kikosimesi omohosa re m?&#34;"
"39","1","8","4","39010804","&nbsp;&nbsp;nado&#44; hanare nu koko kasiko no mi-kokoro wo obosi megurasu ni&#44; ito kutiwosiu&#44; waga kokoro hitotu ni&#44;"
"39","1","8","5","39010805","&nbsp;&nbsp;&#34;Kau tuyou omohu tomo&#44; hito no monoihi ikanara m? Miyasumdokoro no siri tamaha zara m mo&#44; tumi e gamasiu&#44; kaku kiki tamahi te&#44; kokoro wosanaku&#44; to obosi notamaha m.&#34; mo wabisikere ba&#44;"
"39","1","8","6","39010806","&nbsp;&nbsp;&#34;Akasa de dani ide tamahe.&#34;"
"39","1","8","7","39010807","&nbsp;&nbsp;to&#44; yarahi kikoye tamahu yori hoka no koto nasi."
